title,img_url,director,starring,years,location,rating,reviews,genre
饮食男女  / 飲食男女,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1910899751.webp,李安 Ang Lee,郎雄 Sihung Lung / 杨贵媚 Kuei-Mei Yang / 吴...,1994,"中国台湾, 美国",9.2,699238人评价,"剧情, 家庭"
辩护人  / 변호인,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2158166535.webp,杨宇硕 Woo-seok Yang,宋康昊 Kang-ho Song / 金英爱 Yeong-ae...,2013,韩国,9.2,644911人评价,剧情
本杰明·巴顿奇事  / The Curious Case of Benjamin Button,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2192535722.webp,大卫·芬奇 David Fincher,凯特·布兰切特 Cate Blanchett / ...,2008,美国,9.0,1077037人评价,"剧情, 爱情, 奇幻"
搏击俱乐部  / Fight Club,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910931622.webp,大卫·芬奇 David Fincher,爱德华·诺顿 Edward Norton / 布拉...,1999,美国,9.0,940869人评价,"剧情, 动作, 悬疑, 惊悚"
美丽心灵  / A Beautiful Mind,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1665997400.webp,朗·霍华德 Ron Howard,罗素·克劳 Russell Crowe / 艾德·哈...,2001,美国,9.1,836415人评价,"传记, 剧情"
穿条纹睡衣的男孩  / The Boy in the Striped Pajamas,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1473670352.webp,马克·赫尔曼 Mark Herman,阿萨·巴特菲尔德 Asa Butterfield ...,2008,"英国, 美国",9.2,625616人评价,"剧情, 战争"
情书  / Love Letter,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2648230660.webp,岩井俊二 Shunji Iwai,中山美穗 Miho Nakayama / 丰川悦司 Ets...,1995,日本,8.9,1283648人评价,"剧情, 爱情"
"两杆大烟枪  / Lock, Stock and Two Smoking Barrels",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792443418.webp,盖·里奇 Guy Ritchie,杰森·弗莱明 Jason Flemyng / 德克斯特...,1998,英国,9.1,658543人评价,"剧情, 喜剧, 犯罪"
窃听风暴  / Das Leben der Anderen,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1808872109.webp,,,,,9.2,618323人评价,
哈利·波特与死亡圣器(下)  / Harry Potter and the Deathly Hallows: Part 2,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2913457020.webp,大卫·叶茨 David Yates,丹尼尔·雷德克里夫 Daniel Radcliffe...,2011,"美国, 英国",9.0,942281人评价,"奇幻, 冒险"
音乐之声  / The Sound of Music,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p453788577.webp,罗伯特·怀斯 Robert Wise,朱莉·安德鲁斯 Julie Andrews / 克...,1965,美国,9.1,665997人评价,"剧情, 传记, 爱情, 歌舞"
西西里的美丽传说  / Malèna,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2441988159.webp,朱塞佩·托纳多雷 Giuseppe Tornatore,莫妮卡·贝鲁奇 Monica ...,2000,"意大利, 美国",8.9,1069247人评价,"剧情, 战争, 情色"
功夫,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2219011938.webp,周星驰 Stephen Chow,周星驰 Stephen Chow / 元秋 Qiu Yuen / ...,2004,"中国大陆, 中国香港",8.9,1291997人评价,"动作, 喜剧, 犯罪, 奇幻"
阿凡达  / Avatar,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2180085848.webp,詹姆斯·卡梅隆 James Cameron,萨姆·沃辛顿 Sam Worthington ...,2009,美国,8.8,1538483人评价,"动作, 科幻, 冒险"
哈利·波特与阿兹卡班的囚徒  / Harry Potter and the Prisoner of Azkaban,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2913456870.webp,阿方索·卡隆 Alfonso Cuarón,丹尼尔·雷德克里夫 Daniel Rad...,2004,"英国, 美国",9.0,860205人评价,"奇幻, 冒险"
看不见的客人  / Contratiempo,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2498971355.webp,奥里奥尔·保罗 Oriol Paulo,马里奥·卡萨斯 Mario Casas / 阿...,2016,西班牙,8.8,1404455人评价,"剧情, 犯罪, 悬疑, 惊悚"
拯救大兵瑞恩  / Saving Private Ryan,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1014542496.webp,史蒂文·斯皮尔伯格 Steven Spielberg,汤姆·汉克斯 Tom Hanks...,1998,美国,9.1,707352人评价,"剧情, 战争"
